index,title,seniority
1,ceo,c_level
2,CEO,c_level
3,CEO,c_level
4,CEO / Founder,c_level
5,SÍ_cio Fundador / CEO,c_level
6,CEO - 010Minds,c_level
7,CEO & Founder,c_level
8,Founder & CEO,c_level
9,CEO,c_level
10,CEO,c_level
11,ceo,c_level
12,Co-Founder & CEO,c_level
13,Founder of 01Booster and Weglo JAPAN (CEO),c_level
14,"Presisent/CEO, 01 Communique Laboratory Inc.",c_level
15,President / CEO,c_level
16,CEO 01 Concepts Pvt Ltd,c_level
17,CEO,c_level
18,ceo & co-founder,c_level
19,CEO,c_level
20,Etudiants chez 01TEK,non_manager
21,CEO & Founder chez 01Tek.com,c_level
22,Etudiants chez 01TEK,c_level
23,Founder - CEO & Innovation Management,c_level
24,"CEO, Project Manager",c_level
25,CEO & Co-founder,c_level
26,Founder & CEO of KwypeSoft (Lanes - lanesapp.com),c_level
27,CEO,c_level
28,CEO,c_level
29,CEO,c_level
30,Co-founder & CEO,c_level
31,Co-founder & CEO,c_level
32,CEO / Founder,c_level
33,CEO / Founder,c_level
34,CEO / Founder,c_level
35,CEO / Founder,c_level
36,CEO / Founder,c_level
37,CEO / Founder,c_level
38,CEO / Founder,c_level
39,CEO / Founder,c_level
40,CEO / Founder,c_level
41,CEO 07 Media Content,c_level
42,Founder/CEO,c_level
43,Founder & CEO,c_level
44,Founder and co-CEO,c_level
45,Founder and co-CEO,c_level
46,"Owner, co-CEO",c_level
47,CEO,c_level
48,President and CEO,c_level
49,President and CEO,c_level
50,CEO,c_level
51,CEO,c_level
52,CEO and Founder,c_level
53,CEO,c_level
54,"Co-Founder, CEO",c_level
55,"Co-Founder, CEO",c_level
56,"Co-Founder, CEO",c_level
57,CEO,c_level
58,CEO,c_level
59,CEO,c_level
60,CEO,c_level
61,CEO,c_level
62,Founder & CEO,c_level
63,President CEO / Owner,c_level
64,Co-Founder and CEO,c_level
65,CEO,c_level
66,"Group CEO, 1000heads",c_level
67,CEO bei B2B leadFactory GmbH,c_level
68,Founder & CEO,c_level
69,CEO,c_level
70,ceo,c_level
71,CEO,c_level
72,CEO,c_level
73,CEO,c_level
74,CEO,c_level
75,CEO/Founder,c_level
76,CEO,c_level
77,Co-Founder and CEO 1001 App,c_level
78,Founder & CEO,c_level
79,Co-Founder & CEO,c_level
80,Co-Founder & CEO,c_level
81,Co-Founder & CEO,c_level
82,CEO - Cofounder,c_level
83,CEO en 1001 PISOS,c_level
84,CEO chez 1001Pneus,c_level
85,CEO,c_level
86,CEO,c_level
87,Chief Executive Officer,c_level
88,Chief Executive Officer,c_level
89,President and CEO,c_level
90,President and CEO,c_level
91,President and CEO,c_level
92,President and CEO,c_level
93,President and CEO,c_level
94,President and CEO,c_level
95,President and CEO,c_level
96,President and CEO,c_level
